Tweets,id,len,date,source,likes,retweets
"Face The Eagle Tribe to claim the powerful new Saragumi Armor set, inspired by Iki Island’s mischievous simian sent… https://t.co/vEFXv0yAe7",1427287785400983556,140,2021-08-16 15:15:00,Twitter Media Studio,1240,148
Emma and her teddy bear Fenton team up to solve a magical mystery in Tandem: A Tale of Shadows. The puzzle platform… https://t.co/Z3IYKnB64D,1427284304552472582,140,2021-08-16 15:01:10,Twitter Media Studio,465,43
"School is in session 🕗

Akira Kazama and Street Fighter III veteran Oro join the #SFVCE roster tomorrow https://t.co/ONCDxPWRdr",1427015224666714112,127,2021-08-15 21:11:56,Twitter Media Studio,1845,235
"Grab your swords of steel and silver. 🐺 There's still time to stream and download The Witcher 3, available on PlayS… https://t.co/NW6PYu8gK1",1426970737097728001,140,2021-08-15 18:15:10,Khoros Publishing,1816,146
We’ve got one day left of high-intensity gameplay at #Evo2021 Online! Tune in to the tournament action at… https://t.co/Rkf8djKXUy,1426951853145739268,130,2021-08-15 17:00:07,Khoros Publishing,1235,98
🌅 Next weekend we'll be catching the sunset from Iki Island in #GhostofTsushima Director's Cut:… https://t.co/aR4KoXZt1B,1426608330416476165,120,2021-08-14 18:15:05,Khoros Publishing,6728,680
🥊 Don't miss a single K.O. as #Evo2021 weekend kicks off today. Catch the best fighting game players in the world i… https://t.co/ltcXspkSh4,1426589472439865347,140,2021-08-14 17:00:09,Khoros Publishing,1232,131
Share of the Week highlights rainy moments: https://t.co/DcDjO9LOcc #PSshare #PSBlog https://t.co/8Q4Ez455EL,1426572320156622850,108,2021-08-14 15:52:00,Twitter Media Studio,1098,97
𝐽𝑢𝑠𝑡 𝑜𝑛𝑒 𝑚𝑜𝑟𝑒 𝑟𝑢𝑛... https://t.co/aWBaGf79wJ,1426547193457033222,44,2021-08-14 14:12:09,Khoros Publishing,4419,316
The top players from around the world duke it out this weekend at #Evo2021! Tune in August 14-15 at… https://t.co/9QZMPAJIVP,1426332772583583745,124,2021-08-14 00:00:07,Khoros Publishing,953,108
RT @CanYouPetTheDog: The new PS5 version of Hades uses subtle haptic feedback via the DualSense to mimic a contented growl whenever Zagreus…,1426310209438322694,140,2021-08-13 22:30:28,Twitter Web App,0,2753
LOSTyGIRL shares how women of the FGC can overcome any challenge: https://t.co/xlYHp51aSI https://t.co/RarOq1IYgi,1426302589314998273,113,2021-08-13 22:00:11,Khoros Publishing,970,94
"RT @FF_XIV_EN: Grilled corn 🌽 shaved ice 🍧 and... polar bears?! 😱

From now until August 26, join the Moonfire Faire celebrations to earn y…",1426265887770697728,140,2021-08-13 19:34:21,Twitter for iPad,0,612
"Learn how Diablo II: Resurrected adapts mouse-and-keyboard gameplay to controller for looting, movement, and combat… https://t.co/vAeU3CvpEa",1426230982676344839,140,2021-08-13 17:15:39,Twitter Media Studio,1358,132
Get ready to run like a demigod outta hell -- Hades is out today on PS4 and PS5: https://t.co/lA9elbnRho https://t.co/gQN7MoObh1,1426187535047438339,128,2021-08-13 14:23:00,Twitter Media Studio,2903,301
"Next week, we’re looking in the mirror. Capture a reflection in the game of your choice using #PSshare #PSBlog for… https://t.co/9A0sMI8XUc",1426183683245961217,139,2021-08-13 14:07:41,Twitter Web App,393,35
"Share of the Week celebrates the summer rain. Congrats to @Photoingame, @CyborgPlaya, @Yuric83, @KeenEyeVP,… https://t.co/GmdNb5R5ky",1426183399128010757,132,2021-08-13 14:06:34,Twitter Media Studio,983,83
"Befriend the gods and escape the Underworld in Hades, the critically acclaimed rogue-like from Supergiant Games. Ou… https://t.co/Cq0P8DJ3bm",1426033812857782275,140,2021-08-13 04:12:10,Twitter Media Studio,3823,412
"Deceive players in Double Agent mode, live today in #BlackOpsColdWar Season 5 along with new Multiplayer maps and W… https://t.co/6JyWUkDxrA",1425930088592199680,140,2021-08-12 21:20:00,Twitter Media Studio,1187,107
"Clean up, clean up, all the Ridden everywhere 🎵🧟

The Back 4 Blood open beta is live today until August 16 on PS4 a… https://t.co/Rc8Z9WVBNV",1425902406651596802,140,2021-08-12 19:30:00,Twitter Media Studio,2924,314
